UsageClass,CheckoutType,MaterialType,CheckoutYear,CheckoutMonth,Checkouts,Title,ISBN,Creator,Subjects,Publisher,PublicationYear,BookGroup
Digital,OverDrive,AUDIOBOOK,2018,11,17,Stamped from the Beginning: A Definitive History of Racist Ideas in America (unabridged) (Unabridged),NA,Ibram X. Kendi,"African American Nonfiction, History, Nonfiction",Author's Republic,2017,Treatment
Digital,OverDrive,AUDIOBOOK,2018,11,7,Art of War: The Denma Translation (unabridged) (Unabridged),NA,Sun Tzu,"Nonfiction, Religion & Spirituality","Sounds True, Inc",2007,Control
Physical,Horizon,BOOK,2018,11,15,Bad feminist : essays / Roxane Gay.,NA,"Gay, Roxane","Gay Roxane Anecdotes, Feminism, Popular culture, Women Conduct of life Anecdotes, Race awareness in motion pictures, African Americans in mass media, Essays","Harper Perennial,",c2014.,LGBT
Digital,OverDrive,EBOOK,2018,11,6,Bettyville: A Memoir,NA,George Hodgman,"Biography & Autobiography, Family & Relationships, Gay/Lesbian, Nonfiction","Penguin Group (USA), Inc.",2015,LGBT
Digital,OverDrive,EBOOK,2018,12,5,The Art of War: The Oldest Military Treatise in the World,NA,Sun Tzu,"Business, Nonfiction, Politics, Self-Improvement",Duke Classics,2018,Control
Digital,OverDrive,AUDIOBOOK,2018,12,55,When Breath Becomes Air (Unabridged),NA,Paul Kalanithi,"Biography & Autobiography, Nonfiction, Philosophy, Sociology",Books on Tape,2016,Control
Digital,OverDrive,EBOOK,2018,12,3,Bettyville: A Memoir,NA,George Hodgman,"Biography & Autobiography, Family & Relationships, Gay/Lesbian, Nonfiction","Penguin Group (USA), Inc.",2015,LGBT
Physical,Horizon,BOOK,2018,12,9,Bad feminist : essays / Roxane Gay.,NA,"Gay, Roxane","Gay Roxane Anecdotes, Feminism, Popular culture, Women Conduct of life Anecdotes, Race awareness in motion pictures, African Americans in mass media, Essays","Harper Perennial,",c2014.,LGBT
Physical,Horizon,BOOK,2018,12,10,Wild : from lost to found on the Pacific Crest Trail / Cheryl Strayed.,NA,"Strayed, Cheryl, 1968-","Strayed Cheryl 1968 Travel Pacific Crest Trail, Authors American 21st century Biography, Pacific Crest Trail Description and travel","Alfred A. Knopf,",2012.,Control
Digital,OverDrive,AUDIOBOOK,2018,12,62,Wild: From Lost to Found on the Pacific Crest Trail (unabridged) (Unabridged),NA,Cheryl Strayed,"Biography & Autobiography, Nonfiction, Travel",Books on Tape,2012,Control
Physical,Horizon,BOOK,2018,12,10,The boys in the boat : the true story of an American team's epic journey to win gold at the 1936 Olympics / Daniel James Brown ; adapted for young readers by Gregory Mone.,NA,"Brown, Daniel James, 1951-","University of Washington Rowing History Juvenile literature, Olympic Games 11th 1936 Berlin Germany Juvenile literature, Rowing United States History Juvenile literature, Rowers United States Biography Juvenile literature","Viking, an imprint of Penguin Random House LLC,",2015.,Control
Physical,Horizon,BOOK,2018,12,20,Hunger : a memoir of (my) body / Roxane Gay.,NA,"Gay, Roxane","Gay Roxane, Body image, Eating disorders, Autobiographies","Harper, an imprint of HarperCollinsPublishers,",[2017],LGBT
Digital,OverDrive,AUDIOBOOK,2018,12,8,The Art of War: The Essential Translation of the Classic Book of Life (unabridged) (Unabridged),NA,Sun Tzu,"History, Nonfiction, Philosophy","Blackstone Audio, Inc.",2005,Control
Physical,Horizon,BOOK,2018,12,351,So you want to talk about race / Ijeoma Oluo.,NA,"Oluo, Ijeoma","United States Race relations, Intercultural communication, Racism United States","Seal Press,",2018.,Treatment
Digital,OverDrive,EBOOK,2018,12,31,The New Jim Crow,NA,Michelle Alexander,"Law, Nonfiction, Politics, Sociology",Lightning Source Inc,2012,Treatment
Physical,Horizon,BOOK,2018,12,8,Steve Jobs / Walter Isaacson.,NA,"Isaacson, Walter","Jobs Steve 1955 2011, Apple Computer Inc History, Computer engineers United States Biography, Chief executive officers United States Biography","Simon & Schuster,",2011.,Control
Physical,Horizon,BOOK,2018,12,1,How to win friends and influence people for teen girls / presented by Donna Dale Carnegie.,NA,"Carnegie, Donna Dale","Teenage girls Psychology, Interpersonal relations in adolescence, Friendship in adolescence, Success in adolescence","Fireside,",[2005],Control
Physical,Horizon,BOOK,2018,12,5,Between the world and me / Ta-Nehisi Coates.,NA,"Coates, Ta-Nehisi","Race discrimination United States, African Americans Social conditions, African Americans Public opinion, Whites United States Attitudes, Large type books, United States Race relations","Thorndike Press, a part of Gale, Cengage Learning,",2016.,Treatment
Digital,OverDrive,AUDIOBOOK,2018,12,11,Steve Jobs (Unabridged),NA,Walter Isaacson,"Biography & Autobiography, Nonfiction","Recorded Books, LLC",2015,Control
Physical,Horizon,BOOK,2018,12,10,Stamped from the beginning : the definitive history of racist ideas in America / Ibram X. Kendi.,NA,"Kendi, Ibram X.","Racism United States History, United States Race relations","Nation Books,",[2016],Treatment
Physical,Horizon,BOOK,2018,12,23,Between the world and me / Ta-Nehisi Coates.,NA,"Coates, Ta-Nehisi","Race discrimination United States, African Americans Social conditions, African Americans Public opinion, Whites United States Attitudes, United States Race relations","Spiegel & Grau,",c2015.,Treatment
Digital,OverDrive,AUDIOBOOK,2018,12,88,Between the World and Me (Unabridged),NA,Ta-Nehisi Coates,"African American Nonfiction, Biography & Autobiography, Nonfiction, Sociology",Books on Tape,2015,Treatment
Digital,OverDrive,AUDIOBOOK,2018,12,40,White Fragility: Why It's So Hard for White People to Talk About Racism (unabridged) (Unabridged),NA,Robin DiAngelo,"Family & Relationships, Nonfiction, Self-Improvement, Sociology",Books on Tape,2018,Treatment
Digital,OverDrive,AUDIOBOOK,2018,12,109,Sapiens: A Brief History of Humankind (unabridged) (Unabridged),NA,Yuval Noah Harari,"History, Nonfiction, Science",HarperCollins Publishers Inc.,2018,Control
Digital,OverDrive,AUDIOBOOK,2018,12,249,The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing (unabridged) (Unabridged),NA,Marie Kondo,"Home Design & Décor, Nonfiction, Self-Improvement","Tantor Media, Inc",2015,Control
Digital,OverDrive,AUDIOBOOK,2018,12,38,Hunger: A Memoir of (My) Body (unabridged) (Unabridged),NA,Roxane Gay,"Biography & Autobiography, Family & Relationships, Nonfiction",HarperCollins Publishers Inc.,2017,LGBT
Digital,OverDrive,AUDIOBOOK,2018,12,4,The Art of War (Unabridged),NA,Sun Tzu,"History, Military, Nonfiction, Philosophy","Tantor Media, Inc",2007,Control
Digital,OverDrive,AUDIOBOOK,2018,12,13,Stamped from the Beginning: A Definitive History of Racist Ideas in America (unabridged) (Unabridged),NA,Ibram X. Kendi,"African American Nonfiction, History, Nonfiction",Author's Republic,2017,Treatment
Digital,OverDrive,EBOOK,2018,12,7,The Boys in the Boat (Young Readers Adaptation): The True Story of an American Team's Epic Journey to Win Gold at the 1936 Olympics,NA,Daniel James Brown,"History, Juvenile Nonfiction, Sports & Recreations","Penguin Group (USA), Inc.",2017,Control
Digital,OverDrive,EBOOK,2018,12,14,White Rage: The Unspoken Truth of Our Racial Divide,NA,Carol Anderson,"History, Nonfiction",Bloomsbury USA,2016,Treatment
Physical,Horizon,BOOK,2018,12,363,White fragility : why it's so hard for white people to talk about racism / Robin DiAngelo.,NA,"DiAngelo, Robin J.","Racism, Whites, Race relations","Beacon Press,",[2018],Treatment
Physical,Horizon,BOOK,2018,12,9,When breath becomes air / Paul Kalanithi ; foreword by Abraham Verghese.,NA,"Kalanithi, Paul","Kalanithi Paul Health, Lungs Cancer Patients United States Biography, Neurosurgeons Biography, Husband and wife","Thorndike Press, a part of Gale, Cengage Learning,",2016.,Control
Digital,OverDrive,AUDIOBOOK,2018,12,19,Bad Feminist: Essays (unabridged) (Unabridged),NA,Roxane Gay,"Essays, Humor (Nonfiction), Nonfiction, Sociology",HarperCollins Publishers Inc.,2015,LGBT
Digital,OverDrive,EBOOK,2018,12,15,Stamped from the Beginning: The Definitive History of Racist Ideas in America,NA,Ibram X. Kendi,"African American Nonfiction, History, Nonfiction, Sociology","Hachette Digital, Inc.",2016,Treatment
Physical,Horizon,BOOK,2018,12,15,"How to win friends and influence people / Dale Carnegie ; editorial consultant, Dorothy Carnegie ; editorial assistance, Arthur R. Pell.",NA,"Carnegie, Dale, 1888-1955","Success, Persuasion Psychology, Leadership, Business communication","Simon & Schuster,",2009.,Control
Physical,Horizon,BOOK,2018,12,1,Bettyville : a memoir / George Hodgman.,NA,"Hodgman, George","Hodgman George, Adult children of aging parents United States Biography, Caregivers United States Biography, Aging parents Care United States, Mothers and sons United States, Sons Family relationships United States, Gay men Family relationships United States","Viking,",c2015.,LGBT
Digital,OverDrive,EBOOK,2018,12,30,Bad Feminist: Essays,NA,Roxane Gay,"Essays, Humor (Nonfiction), Nonfiction, Sociology",HarperCollins Publishers Inc.,2014,LGBT
Digital,OverDrive,AUDIOBOOK,2018,12,12,The Rules Do Not Apply: A Memoir (unabridged) (Unabridged),NA,Ariel Levy,"Biography & Autobiography, Nonfiction, Psychology, Sociology",Books on Tape,2017,LGBT
Physical,Horizon,BOOK,2018,12,1,Wild : from lost to found on the Pacific Crest Trail / Cheryl Strayed.,NA,"Strayed, Cheryl, 1968-","Strayed Cheryl 1968 Travel Pacific Crest Trail, Authors American 21st century Biography, Large type books, Pacific Crest Trail Description and travel","Thorndike Press,",2013.,Control
Physical,Horizon,BOOK,2018,12,21,When breath becomes air / Paul Kalanithi ; foreword by Abraham Verghese.,NA,"Kalanithi, Paul","Kalanithi Paul Health, Lungs Cancer Patients United States Biography, Neurosurgeons Biography, Husband and wife","Random House,",[2016],Control
Digital,OverDrive,AUDIOBOOK,2018,12,11,The Boys in the Boat (Young Readers Adaptation): The True Story of an American Team's Epic Journey to Win Gold at the 1936 Olympics (unabridged) (Unabridged),NA,Daniel James Brown,"History, Juvenile Nonfiction, Sports & Recreations",Books on Tape,2018,Control
Digital,OverDrive,EBOOK,2018,12,24,How to Win Friends and Influence People,NA,Dale Carnegie,"Business, Nonfiction, Psychology, Self Help","Simon & Schuster, Inc.",2014,Control
Physical,Horizon,BOOK,2018,12,7,The rules do not apply : a memoir / Ariel Levy.,NA,"Levy, Ariel","Levy Ariel, Levy Ariel Marriage, Women journalists United States Biography, Young women United States Biography, Miscarriage United States, Lesbians United States Biography, Sex role United States, Life change events United States","Random House,",c2017.,LGBT
Digital,OverDrive,EBOOK,2018,12,45,Welcome to the Universe: An Astrophysical Tour,NA,Neil DeGrasse Tyson,"Nonfiction, Science",Princeton University Press,2016,Control
Digital,OverDrive,AUDIOBOOK,2018,12,14,The New Jim Crow (Unabridged),NA,Michelle Alexander,"Nonfiction, Sociology","Recorded Books, LLC",2018,Treatment
Digital,OverDrive,EBOOK,2018,12,139,When Breath Becomes Air,NA,Paul Kalanithi,"Biography & Autobiography, Nonfiction, Philosophy, Sociology","Random House, Inc.",2016,Control
Digital,OverDrive,EBOOK,2018,12,59,White Fragility: Why It's So Hard for White People to Talk About Racism,NA,Robin DiAngelo,"Family & Relationships, Nonfiction, Self-Improvement, Sociology","Random House, Inc.",2018,Treatment
Physical,Horizon,BOOK,2018,12,14,White rage : the unspoken truth of our racial divide / Carol Anderson.,NA,"Anderson, Carol (Carol Elaine)","African Americans Civil rights History, African Americans Politics and government, African Americans Social conditions, Whites United States Attitudes History, Whites United States Politics and government, Opposition Political science United States History, Racism United States History, United States Race relations History","Bloomsbury USA,",2016.,Treatment
Digital,OverDrive,EBOOK,2018,12,82,Wild: From Lost to Found on the Pacific Crest Trail,NA,Cheryl Strayed,"Biography & Autobiography, Nonfiction, Travel","Random House, Inc.",2012,Control
Physical,Horizon,BOOK,2018,12,7,"Welcome to the universe : an astrophysical tour / Neil deGrasse Tyson, Michael A. Strauss, J. Richard Gott.",NA,"Tyson, Neil deGrasse","Cosmology Popular works, Stars Popular works, Relativity Physics Popular works","Princeton University Press,",2016.,Control
Physical,Horizon,BOOK,2018,12,5,The boys in the boat : nine Americans and their epic quest for gold at the 1936 Berlin Olympics / Daniel James Brown.,NA,"Brown, Daniel James, 1951-","University of Washington Rowing History, Rowers United States Biography, Rowing United States History, Olympic Games 11th 1936 Berlin Germany, Large type books","Thorndike Press,",2013.,Control
Digital,OverDrive,EBOOK,2018,12,12,How to Win Friends and Influence People in the Digital Age,NA,Dale Carnegie,"Business, Nonfiction, Psychology, Self-Improvement","Simon & Schuster, Inc.",2014,Control
Digital,OverDrive,AUDIOBOOK,2018,12,39,How to Win Friends and Influence People (Unabridged),NA,Dale Carnegie,"Nonfiction, Self-Improvement",Simon & Schuster - Audiobooks,2008,Control
Physical,Horizon,BOOK,2018,12,11,The new Jim Crow : mass incarceration in the age of colorblindness / Michelle Alexander ; [with a new foreword by Cornel West].,NA,"Alexander, Michelle","Discrimination in criminal justice administration United States, Criminal justice Administration of United States, African American prisoners United States, African American men Social conditions, Race discrimination United States, United States Race relations","New Press,",2012.,Treatment
Digital,OverDrive,EBOOK,2018,12,166,Between the World and Me,NA,Ta-Nehisi Coates,"African American Nonfiction, Biography & Autobiography, Nonfiction, Sociology","Random House, Inc.",2015,Treatment
Digital,OverDrive,EBOOK,2018,12,2,The Art of War,NA,Tzu Sun,"History, Military, Nonfiction","Hachette Digital, Inc.",2010,Control
Digital,OverDrive,AUDIOBOOK,2018,12,58,So You Want to Talk about Race (Unabridged),NA,Ijeoma Oluo,"Nonfiction, Politics, Sociology","Blackstone Audio, Inc.",2018,Treatment
Digital,OverDrive,EBOOK,2018,12,97,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,NA,Daniel James Brown,"History, Nonfiction, Sports & Recreations","Penguin Group (USA), Inc.",2013,Control
Digital,OverDrive,EBOOK,2018,12,50,Hunger: A Memoir of (My) Body,NA,Roxane Gay,"Biography & Autobiography, Family & Relationships, Nonfiction",HarperCollins Publishers Inc.,2017,LGBT
Digital,OverDrive,EBOOK,2018,12,110,Sapiens: A Brief History of Humankind,NA,Yuval Noah Harari,"History, Nonfiction, Science",HarperCollins Publishers Inc.,2015,Control
Digital,OverDrive,AUDIOBOOK,2018,12,5,Sapiens: A Brief History of Humankind (unabridged) (Unabridged),NA,Yuval Noah Harari,"Nonfiction, Science","Tantor Media, Inc",2015,Control
Physical,Horizon,BOOK,2018,12,25,The color of law : a forgotten history of how our government segregated America / Richard Rothstein.,NA,"Rothstein, Richard","Segregation United States History 20th century, African Americans Segregation History 20th century, Discrimination in housing Government policy United States History 20th century, United States Race relations History 20th century","Liveright Publishing Corporation,",[2017],Treatment
Digital,OverDrive,EBOOK,2018,12,9,Steve Jobs,NA,Walter Isaacson,"Biography & Autobiography, Business, Computer Technology, Nonfiction","Simon & Schuster, Inc.",2014,Control
Digital,OverDrive,EBOOK,2018,12,17,The New Jim Crow: Mass Incarceration in the Age of Colorblindness,NA,Michelle Alexander,"Nonfiction, Politics",Perseus Books Group,2010,Treatment
Physical,Horizon,BOOK,2018,12,16,The boys in the boat : nine Americans and their epic quest for gold at the 1936 Berlin Olympics / Daniel James Brown.,NA,"Brown, Daniel James, 1951-","University of Washington Rowing History, Olympic Games 11th 1936 Berlin Germany, Rowing United States History, Rowers United States Biography, Olympics History","Penguin Books,",2014.,Control
